coachID,year,tmID,confID,name,won,lost,games,win_pct_season,last1_win_pct,last3_win_pct,last5_win_pct,career_wins_to_date,career_losses_to_date,career_games_to_date,career_win_pct_to_date,tenure_with_team,post_wins,post_losses,playoff_games,playoff_win_pct_season
laimbbi01w,8,DET,EA,Detroit Shock,24,10,34.0,0.7058823529411765,0.6764705882352942,0.5490196078431372,0.558288770053476,90.0,68.0,158.0,0.569620253164557,6,6,5,11.0,0.5454545454545454
overtbo99w,8,CHI,EA,Chicago Sky,14,20,34.0,0.4117647058823529,,,,0.0,0.0,0.0,,1,0,0,0.0,
rollitr01w,8,WAS,EA,Washington Mystics,16,14,30.0,0.5333333333333333,,,,0.0,0.0,0.0,,1,0,0,0.0,
thibami99w,8,CON,EA,Connecticut Sun,18,16,34.0,0.5294117647058824,0.7647058823529411,0.6862745098039215,0.6470588235294117,88.0,48.0,136.0,0.6470588235294118,5,1,2,3.0,0.3333333333333333
thompka99w,8,HOU,WE,Houston Comets,13,21,34.0,0.38235294117647056,0.7857142857142857,0.7857142857142857,0.7857142857142857,11.0,3.0,14.0,0.7857142857142857,1,0,0,0.0,
westhpa99w,8,PHO,WE,Phoenix Mercury,23,11,34.0,0.6764705882352942,0.5294117647058824,0.5294117647058824,0.5294117647058824,18.0,16.0,34.0,0.5294117647058824,2,7,2,9.0,0.7777777777777778
wintebr01w,8,IND,EA,Indiana Fever,21,13,34.0,0.6176470588235294,0.6176470588235294,0.5588235294117647,0.5588235294117647,57.0,45.0,102.0,0.5588235294117647,4,3,3,6.0,0.5
zierddo99w,8,MIN,WE,Minnesota Lynx,10,24,34.0,0.29411764705882354,,,,0.0,0.0,0.0,,1,0,0,0.0,
aglerbr99w,9,SEA,WE,Seattle Storm,22,12,34.0,0.6470588235294118,0.3157894736842105,0.3865131578947369,0.3865131578947369,33.0,50.0,83.0,0.39759036144578314,1,1,2,3.0,0.3333333333333333
bouceje01w,9,SAC,WE,Sacramento Monarchs,18,16,34.0,0.5294117647058824,0.5588235294117647,0.5588235294117647,0.5588235294117647,19.0,15.0,34.0,0.5588235294117647,2,1,2,3.0,0.3333333333333333
