year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,home_win_pct,away_win_pct,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev
3,NYL,New York Liberty,0.56,18.0,14.0,32.0,2089.0,2015.0,74.0,0.62,0.5,0.66,,,,,21.0,-0.09
4,NYL,New York Liberty,0.47,16.0,18.0,34.0,2243.0,2256.0,-13.0,0.65,0.29,0.56,,,,,18.0,-0.09
5,NYL,New York Liberty,0.53,18.0,16.0,34.0,2252.0,2297.0,-45.0,0.65,0.41,0.47,,,,,16.0,0.06
6,NYL,New York Liberty,0.53,18.0,16.0,34.0,2316.0,2285.0,31.0,0.59,0.47,0.53,,,,,18.0,0.0
7,NYL,New York Liberty,0.32,11.0,23.0,34.0,2372.0,2656.0,-284.0,0.41,0.24,0.53,,,,,18.0,-0.21
8,NYL,New York Liberty,0.47,16.0,18.0,34.0,2413.0,2501.0,-88.0,0.59,0.35,0.32,,,,,11.0,0.15
9,NYL,New York Liberty,0.56,19.0,15.0,34.0,2573.0,2538.0,35.0,0.65,0.47,0.47,,,,,16.0,0.09
10,NYL,New York Liberty,0.38,13.0,21.0,34.0,2512.0,2535.0,-23.0,0.47,0.29,0.56,,,,,19.0,-0.18
1,ORL,Orlando Miracle,0.5,16.0,16.0,32.0,2208.0,2233.0,-25.0,0.69,0.31,,,,,,,
2,ORL,Orlando Miracle,0.41,13.0,19.0,32.0,2140.0,2205.0,-65.0,0.62,0.19,0.5,,,,,16.0,-0.09
3,ORL,Orlando Miracle,0.5,16.0,16.0,32.0,2254.0,2255.0,-1.0,0.62,0.38,0.41,,,,,13.0,0.09
1,PHO,Phoenix Mercury,0.62,20.0,12.0,32.0,2243.0,2102.0,141.0,0.69,0.56,,,,,,,
2,PHO,Phoenix Mercury,0.41,13.0,19.0,32.0,2064.0,2169.0,-105.0,0.62,0.19,0.62,,,,,20.0,-0.22
3,PHO,Phoenix Mercury,0.34,11.0,21.0,32.0,2091.0,2291.0,-200.0,0.62,0.06,0.41,,,,,13.0,-0.06
4,PHO,Phoenix Mercury,0.24,8.0,26.0,34.0,2097.0,2270.0,-173.0,0.35,0.12,0.34,,,,,11.0,-0.11
5,PHO,Phoenix Mercury,0.5,17.0,17.0,34.0,2300.0,2235.0,65.0,0.59,0.41,0.24,,,,,8.0,0.26
6,PHO,Phoenix Mercury,0.47,16.0,18.0,34.0,2361.0,2354.0,7.0,0.65,0.29,0.5,,,,,17.0,-0.03
7,PHO,Phoenix Mercury,0.53,18.0,16.0,34.0,2960.0,2879.0,81.0,0.59,0.47,0.47,,,,,16.0,0.06
8,PHO,Phoenix Mercury,0.68,23.0,11.0,34.0,3025.0,2904.0,121.0,0.71,0.65,0.53,,,,,18.0,0.15
9,PHO,Phoenix Mercury,0.47,16.0,18.0,34.0,3010.0,3009.0,1.0,0.59,0.35,0.68,,,,,23.0,-0.21
10,PHO,Phoenix Mercury,0.68,23.0,11.0,34.0,3156.0,3031.0,125.0,0.71,0.65,0.47,,,,,16.0,0.21
1,POR,Portland Fire,0.31,10.0,22.0,32.0,2155.0,2303.0,-148.0,0.38,0.25,,,,,,,
2,POR,Portland Fire,0.34,11.0,21.0,32.0,2088.0,2202.0,-114.0,0.38,0.31,0.31,,,,,10.0,0.03
3,POR,Portland Fire,0.5,16.0,16.0,32.0,2195.0,2227.0,-32.0,0.56,0.44,0.34,,,,,11.0,0.16
1,SAC,Sacramento Monarchs,0.66,21.0,11.0,32.0,2343.0,2176.0,167.0,0.81,0.5,,,,,,,
2,SAC,Sacramento Monarchs,0.62,20.0,12.0,32.0,2294.0,2139.0,155.0,0.75,0.5,0.66,,,,,21.0,-0.03
3,SAC,Sacramento Monarchs,0.44,14.0,18.0,32.0,2166.0,2294.0,-128.0,0.62,0.25,0.62,,,,,20.0,-0.19
4,SAC,Sacramento Monarchs,0.56,19.0,15.0,34.0,2299.0,2216.0,83.0,0.71,0.41,0.44,,,,,14.0,0.12
5,SAC,Sacramento Monarchs,0.53,18.0,16.0,34.0,2312.0,2241.0,71.0,0.59,0.47,0.56,,,,,19.0,-0.03
6,SAC,Sacramento Monarchs,0.74,25.0,9.0,34.0,2329.0,2093.0,236.0,0.88,0.59,0.53,,,,,18.0,0.21
