year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,off_eff,def_eff,fg_pct,three_pct,ft_pct,opp_fg_pct,prop_3pt_shots,home_win_pct,away_win_pct,home_advantage,attend_per_game,confID,franchise_changed,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev,off_eff_norm,def_eff_norm,fg_pct_norm,three_pct_norm,ft_pct_norm,opp_fg_pct_norm,point_diff_norm
8,CHI,Chicago Sky,0.4118,14.0,20.0,34.0,2525.0,2611.0,-86.0,74.2647,76.7941,0.4062,0.3419,0.6763,0.4293,0.2389,0.3529,0.4706,-0.1176,1957.5588,EA,0.0,0.1471,,,,,5.0,0.2647,0.9695,1.0025,0.9675,0.9843,0.8732,1.0217,
9,CHI,Chicago Sky,0.3529,12.0,22.0,34.0,2472.0,2510.0,-38.0,72.7059,73.8235,0.4281,0.3226,0.6946,0.4163,0.1624,0.4706,0.2353,0.2353,1827.8235,EA,0.0,0.4118,,,,,14.0,-0.0588,0.9533,0.968,1.0195,0.9563,0.9246,0.9907,
10,CHI,Chicago Sky,0.4706,16.0,18.0,34.0,2573.0,2693.0,-120.0,75.6765,79.2059,0.4354,0.3949,0.7605,0.4425,0.2205,0.7059,0.2353,0.4706,1966.2353,EA,0.0,0.3529,,,,,12.0,0.1176,0.9659,1.011,1.0182,1.1525,0.9801,1.0342,
1,CLE,Cleveland Rockers,0.5312,17.0,15.0,32.0,2185.0,2122.0,63.0,68.2812,66.3125,0.4426,0.3464,0.7474,0.4395,0.2226,0.8125,0.25,0.5625,4297.875,EA,0.0,,,,,,,,0.9893,0.9608,1.0254,1.0556,1.0107,1.0171,
2,CLE,Cleveland Rockers,0.6875,22.0,10.0,32.0,2004.0,1788.0,216.0,62.625,55.875,0.4311,0.3164,0.7366,0.3805,0.1893,0.875,0.5,0.375,4605.4062,EA,0.0,0.5312,,,,,17.0,0.1562,0.9531,0.8504,1.0489,0.9456,0.9961,0.9253,
3,CLE,Cleveland Rockers,0.3125,10.0,22.0,32.0,2071.0,2140.0,-69.0,64.7188,66.875,0.4176,0.3235,0.7776,0.4346,0.2055,0.25,0.375,-0.125,4658.875,EA,0.0,0.6875,,,,,22.0,-0.375,0.9568,0.9887,0.9934,0.9574,1.0467,1.0331,
4,CLE,Cleveland Rockers,0.5,17.0,17.0,34.0,2229.0,2210.0,19.0,65.5588,65.0,0.4127,0.3176,0.7216,0.4198,0.2152,0.6471,0.3529,0.2941,3699.7941,EA,0.0,0.3125,,,,,10.0,0.1875,0.9627,0.9545,0.9877,0.947,0.9684,1.0043,
4,CON,Connecticut Sun,0.5294,18.0,16.0,34.0,2384.0,2409.0,-25.0,70.1176,70.8529,0.411,0.3224,0.7415,0.4106,0.2612,0.5882,0.4706,0.1176,3012.7353,EA,0.0,,,,,,,,1.0296,1.0404,0.9838,0.9612,0.9951,0.9824,
5,CON,Connecticut Sun,0.5294,18.0,16.0,34.0,2335.0,2304.0,31.0,68.6765,67.7647,0.4271,0.3191,0.7356,0.4299,0.2277,0.5882,0.4706,0.1176,3353.4412,EA,0.0,0.5294,,,,,18.0,0.0,1.024,1.0104,1.0167,0.9183,0.9918,1.0225,
6,CON,Connecticut Sun,0.7647,26.0,8.0,34.0,2474.0,2244.0,230.0,72.7647,66.0,0.4523,0.3485,0.7442,0.3976,0.1842,0.8235,0.7059,0.1176,3586.5882,EA,0.0,0.5294,,,,,18.0,0.2353,1.0814,0.9809,1.065,1.0418,1.004,0.9355,
7,CON,Connecticut Sun,0.7647,26.0,8.0,34.0,2683.0,2417.0,266.0,78.9118,71.0882,0.4431,0.3412,0.8074,0.4022,0.2301,0.8235,0.7059,0.1176,3708.7059,EA,0.0,0.7647,,,,,26.0,0.0,1.0489,0.945,1.0437,1.0207,1.0794,0.9466,1862.0
8,CON,Connecticut Sun,0.5294,18.0,16.0,34.0,2675.0,2593.0,82.0,78.6765,76.2647,0.4302,0.3409,0.7772,0.4212,0.2458,0.4706,0.5882,-0.1176,3985.0,EA,0.0,0.7647,,,,,26.0,-0.2353,1.0271,0.9956,1.0245,0.9814,1.0035,1.0024,
9,CON,Connecticut Sun,0.6176,21.0,13.0,34.0,2690.0,2541.0,149.0,79.1176,74.7353,0.4221,0.3303,0.7455,0.4181,0.2927,0.7647,0.4706,0.2941,3822.0882,EA,0.0,0.5294,,,,,18.0,0.0882,1.0374,0.9799,1.0053,0.9793,0.9924,0.9951,
10,CON,Connecticut Sun,0.4706,16.0,18.0,34.0,2651.0,2654.0,-3.0,77.9706,78.0588,0.4057,0.3161,0.7471,0.4262,0.2684,0.7059,0.2353,0.4706,3396.9412,EA,0.0,0.6176,,,,,21.0,-0.1471,0.9952,0.9963,0.9488,0.9226,0.9629,0.9962,
1,DET,Detroit Shock,0.4375,14.0,18.0,32.0,2331.0,2426.0,-95.0,72.8438,75.8125,0.4384,0.2784,0.7425,0.4601,0.1379,0.5,0.375,0.125,3352.7812,EA,0.0,,,,,,,,1.0554,1.0984,1.0157,0.8483,1.0041,1.0647,
2,DET,Detroit Shock,0.3125,10.0,22.0,32.0,2103.0,2269.0,-166.0,65.7188,70.9062,0.4044,0.3531,0.7601,0.4616,0.2116,0.375,0.25,0.125,3417.125,EA,0.0,0.4375,,,,,14.0,-0.125,1.0002,1.0792,0.984,1.0551,1.0279,1.1225,
3,DET,Detroit Shock,0.2812,9.0,23.0,32.0,2114.0,2266.0,-152.0,66.0625,70.8125,0.3992,0.3022,0.725,0.4173,0.1897,0.4375,0.125,0.3125,2942.8438,EA,0.0,0.3125,,,,,10.0,-0.0312,0.9767,1.0469,0.9495,0.8943,0.976,0.9921,
4,DET,Detroit Shock,0.7353,25.0,9.0,34.0,2553.0,2395.0,158.0,75.0882,70.4412,0.4501,0.387,0.7075,0.3985,0.1612,0.7647,0.7059,0.0588,3930.7941,EA,0.0,0.2812,,,,,9.0,0.454,1.1026,1.0344,1.0773,1.1538,0.9494,0.9534,
5,DET,Detroit Shock,0.5,17.0,17.0,34.0,2366.0,2381.0,-15.0,69.5882,70.0294,0.4168,0.2967,0.702,0.4099,0.0997,0.4706,0.5294,-0.0588,4731.1765,EA,0.0,0.7353,,,,,25.0,-0.2353,1.0375,1.0441,0.9921,0.8538,0.9465,0.9751,
6,DET,Detroit Shock,0.4706,16.0,18.0,34.0,2247.0,2287.0,-40.0,66.0882,67.2647,0.4034,0.3193,0.6576,0.4031,0.1155,0.7059,0.2353,0.4706,4686.9412,EA,0.0,0.5,,,,,17.0,-0.0294,0.9822,0.9997,0.9498,0.9545,0.8872,0.9484,
7,DET,Detroit Shock,0.6765,23.0,11.0,34.0,2527.0,2384.0,143.0,74.3235,70.1176,0.414,0.3285,0.7413,0.388,0.1865,0.8235,0.5294,0.2941,4689.7941,EA,0.0,0.4706,,,,,16.0,0.2059,0.9879,0.9321,0.975,0.9828,0.991,0.9132,1001.0
8,DET,Detroit Shock,0.7059,24.0,10.0,34.0,2697.0,2540.0,157.0,79.3235,74.7059,0.4299,0.3575,0.758,0.3957,0.1955,0.7059,0.7059,0.0,4874.6471,EA,0.0,0.6765,,,,,23.0,0.0294,1.0356,0.9753,1.0238,1.029,0.9786,0.9416,
9,DET,Detroit Shock,0.6471,22.0,12.0,34.0,2672.0,2522.0,150.0,78.5882,74.1765,0.4244,0.3529,0.7473,0.4054,0.2074,0.8235,0.4706,0.3529,4784.3824,EA,0.0,0.7059,,,,,24.0,-0.0588,1.0305,0.9726,1.0107,1.0463,0.9948,0.9648,
10,DET,Detroit Shock,0.5294,18.0,16.0,34.0,2652.0,2644.0,8.0,78.0,77.7647,0.4304,0.3509,0.7476,0.4098,0.1915,0.6471,0.4118,0.2353,4002.0294,EA,0.0,0.6471,,,,,22.0,-0.1176,0.9956,0.9926,1.0065,1.0242,0.9635,0.9579,
