coachID,team_id,year,stint,gp,won,lost,rs_win_pct_coach,eb_rs_win_pct,is_first_year_with_team,po_win_pct_coach,pythag_win_pct,rs_win_pct_expected_roster,rs_win_pct_prev,team_strength
weisery99w,LAS,5,2,14,11,3,0.7857142857142857,0.5839303272931592,1,0.3333333333333333,0.6447858703281527,0.5451252882879175,0.7058823529411765,21.567688823657964
westhpa99w,PHO,7,0,34,18,16,0.5294117647058824,0.5151272898539947,1,,0.5743592943529447,0.6820521795812011,0.4705882352941176,24.887718321369093
westhpa99w,PHO,8,0,34,23,11,0.6764705882352942,0.5886567016187005,0,0.7777777777777778,0.6084681112808139,0.6988413580953763,0.5294117647058824,25.29480101625047
whisejo99w,SAC,4,2,16,12,4,0.75,0.5805731142014328,1,0.5,0.5979957894917546,0.5141654599716066,0.4375,20.81701419515081
whisejo99w,SAC,5,0,34,18,16,0.5294117647058824,0.5151272898539947,0,0.5,0.583427618360448,0.4690054286138742,0.5588235294117647,19.722031063575216
whisejo99w,SAC,6,0,34,25,9,0.7352941176470589,0.6180684663245829,0,0.875,0.7602185204832002,0.4797546803748587,0.5294117647058824,19.982665279306826
whisejo99w,SAC,7,0,34,21,13,0.6176470588235294,0.5592449369128182,0,0.6666666666666666,0.6414265709008057,0.5229107762124271,0.7352941176470589,21.029059525415025
whisejo99w,SAC,10,2,21,9,12,0.42857142857142855,0.4732482856376662,1,,0.4191989846977407,0.5729527171495934,0.5294117647058824,22.242413005253063
willifr99w,UTA,1,0,32,18,14,0.5625,0.5307372077283582,1,,0.5067215902228014,0.5885285362158686,,22.620075700013896
willifr99w,UTA,2,1,13,5,8,0.38461538461538464,0.46869480234194977,0,,0.5184050275293984,0.5259799921169557,0.5625,21.10347797778501
willigr99w,DET,2,0,32,10,22,0.3125,0.409525086516237,1,,0.3056527508303424,0.4183174901836951,0.4375,18.493014256307536
willigr99w,DET,3,1,10,0,10,0.0,0.3870149025016282,0,,0.320845232331422,0.434551464700407,0.3125,18.88663506922099
wintebr01w,IND,5,0,34,15,19,0.4411764705882353,0.47100964279517116,1,,0.4431215740722617,0.4686649244967265,0.4705882352941176,19.71377495184767
wintebr01w,IND,6,0,34,21,13,0.6176470588235294,0.5592449369128182,0,0.5,0.5463008363538873,0.4154473950886004,0.4411764705882353,18.42342383263728
wintebr01w,IND,7,0,34,21,13,0.6176470588235294,0.5592449369128182,0,0.0,0.6320766699275093,0.4830961254632451,0.6176470588235294,20.06368439946389
wintebr01w,IND,8,0,34,21,13,0.6176470588235294,0.5592449369128182,0,0.5,0.6201019409463855,0.493496461813522,0.6176470588235294,20.31585855709578
zierddo99w,MIN,8,0,34,10,24,0.29411764705882354,0.39748023103046526,1,,0.3857754112366219,0.5600023863551561,0.2941176470588235,21.92840981832204
zierddo99w,MIN,9,0,34,16,18,0.47058823529411764,0.48571552514811234,0,,0.5451402082207037,0.5991854337952042,0.2941176470588235,22.87847062874778
