year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,home_win_pct,away_win_pct,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev
1,PHO,Phoenix Mercury,0.62,20,12,32,2243,2102,141,0.69,0.56,,,,,,,
2,PHO,Phoenix Mercury,0.41,13,19,32,2064,2169,-105,0.62,0.19,0.62,0.62,0.62,141.0,141.0,20.0,-0.21
3,PHO,Phoenix Mercury,0.34,11,21,32,2091,2291,-200,0.62,0.06,0.41,0.52,0.52,18.0,18.0,13.0,-0.07
4,PHO,Phoenix Mercury,0.24,8,26,34,2097,2270,-173,0.35,0.12,0.34,0.46,0.46,-54.67,-54.67,11.0,-0.1
5,PHO,Phoenix Mercury,0.5,17,17,34,2300,2235,65,0.59,0.41,0.24,0.33,0.4,-159.33,-84.25,8.0,0.26
6,PHO,Phoenix Mercury,0.47,16,18,34,2361,2354,7,0.65,0.29,0.5,0.36,0.42,-102.67,-54.4,17.0,-0.03
7,PHO,Phoenix Mercury,0.53,18,16,34,2960,2879,81,0.59,0.47,0.47,0.4,0.39,-33.67,-81.2,16.0,0.06
8,PHO,Phoenix Mercury,0.68,23,11,34,3025,2904,121,0.71,0.65,0.53,0.5,0.42,51.0,-44.0,18.0,0.15
9,PHO,Phoenix Mercury,0.47,16,18,34,3010,3009,1,0.59,0.35,0.68,0.56,0.48,69.67,20.2,23.0,-0.21
10,PHO,Phoenix Mercury,0.68,23,11,34,3156,3031,125,0.71,0.65,0.47,0.56,0.53,67.67,55.0,16.0,0.21
1,POR,Portland Fire,0.31,10,22,32,2155,2303,-148,0.38,0.25,,,,,,,
2,POR,Portland Fire,0.34,11,21,32,2088,2202,-114,0.38,0.31,0.31,0.31,0.31,-148.0,-148.0,10.0,0.03
3,POR,Portland Fire,0.5,16,16,32,2195,2227,-32,0.56,0.44,0.34,0.32,0.32,-131.0,-131.0,11.0,0.16
1,SAC,Sacramento Monarchs,0.66,21,11,32,2343,2176,167,0.81,0.5,,,,,,,
2,SAC,Sacramento Monarchs,0.62,20,12,32,2294,2139,155,0.75,0.5,0.66,0.66,0.66,167.0,167.0,21.0,-0.04
3,SAC,Sacramento Monarchs,0.44,14,18,32,2166,2294,-128,0.62,0.25,0.62,0.64,0.64,161.0,161.0,20.0,-0.18
4,SAC,Sacramento Monarchs,0.56,19,15,34,2299,2216,83,0.71,0.41,0.44,0.57,0.57,64.67,64.67,14.0,0.12
5,SAC,Sacramento Monarchs,0.53,18,16,34,2312,2241,71,0.59,0.47,0.56,0.54,0.57,36.67,69.25,19.0,-0.03
6,SAC,Sacramento Monarchs,0.74,25,9,34,2329,2093,236,0.88,0.59,0.53,0.51,0.56,8.67,69.6,18.0,0.21
7,SAC,Sacramento Monarchs,0.62,21,13,34,2537,2404,133,0.82,0.41,0.74,0.61,0.58,130.0,83.4,25.0,-0.12
8,SAC,Sacramento Monarchs,0.56,19,15,34,2527,2480,47,0.71,0.41,0.62,0.63,0.58,146.67,79.0,21.0,-0.06
9,SAC,Sacramento Monarchs,0.53,18,16,34,2545,2571,-26,0.76,0.29,0.56,0.64,0.6,138.67,114.0,19.0,-0.03
10,SAC,Sacramento Monarchs,0.35,12,22,34,2610,2690,-80,0.41,0.29,0.53,0.57,0.6,51.33,92.2,18.0,-0.18
4,SAS,San Antonio Silver Stars,0.35,12,22,34,2215,2427,-212,0.53,0.18,,,,,,,
5,SAS,San Antonio Silver Stars,0.26,9,25,34,2191,2364,-173,0.35,0.18,0.35,0.35,0.35,-212.0,-212.0,12.0,-0.09
6,SAS,San Antonio Silver Stars,0.21,7,27,34,2141,2401,-260,0.29,0.12,0.26,0.3,0.3,-192.5,-192.5,9.0,-0.05
7,SAS,San Antonio Silver Stars,0.38,13,21,34,2523,2603,-80,0.35,0.41,0.21,0.27,0.27,-215.0,-215.0,7.0,0.17
8,SAS,San Antonio Silver Stars,0.59,20,14,34,2517,2484,33,0.53,0.65,0.38,0.28,0.3,-171.0,-181.25,13.0,0.21
9,SAS,San Antonio Silver Stars,0.71,24,10,34,2546,2418,128,0.88,0.53,0.59,0.39,0.36,-102.33,-138.4,20.0,0.12
10,SAS,San Antonio Silver Stars,0.44,15,19,34,2615,2661,-46,0.59,0.29,0.71,0.56,0.43,27.0,-70.4,24.0,-0.27
1,SEA,Seattle Storm,0.19,6,26,32,1822,2171,-349,0.25,0.12,,,,,,,
2,SEA,Seattle Storm,0.31,10,22,32,1921,2048,-127,0.31,0.31,0.19,0.19,0.19,-349.0,-349.0,6.0,0.12
3,SEA,Seattle Storm,0.53,17,15,32,2188,2103,85,0.62,0.44,0.31,0.25,0.25,-238.0,-238.0,10.0,0.22
4,SEA,Seattle Storm,0.53,18,16,34,2388,2274,114,0.76,0.29,0.53,0.34,0.34,-130.33,-130.33,17.0,0.0
5,SEA,Seattle Storm,0.59,20,14,34,2437,2264,173,0.76,0.41,0.53,0.46,0.39,24.0,-69.25,18.0,0.06
6,SEA,Seattle Storm,0.59,20,14,34,2498,2407,91,0.82,0.35,0.59,0.55,0.43,124.0,-20.8,20.0,0.0
7,SEA,Seattle Storm,0.53,18,16,34,2644,2575,69,0.53,0.53,0.59,0.57,0.51,126.0,67.2,20.0,-0.06
8,SEA,Seattle Storm,0.5,17,17,34,2734,2647,87,0.71,0.29,0.53,0.57,0.55,111.0,106.4,18.0,-0.03
9,SEA,Seattle Storm,0.65,22,12,34,2493,2406,87,0.94,0.35,0.5,0.54,0.55,82.33,106.8,17.0,0.15
10,SEA,Seattle Storm,0.59,20,14,34,2544,2476,68,0.76,0.41,0.65,0.56,0.57,81.0,101.4,22.0,-0.06
1,UTA,Utah Starzz,0.56,18,14,32,2413,2407,6,0.75,0.38,,,,,,,
2,UTA,Utah Starzz,0.59,19,13,32,2207,2192,15,0.56,0.62,0.56,0.56,0.56,6.0,6.0,18.0,0.03
3,UTA,Utah Starzz,0.62,20,12,32,2418,2344,74,0.75,0.5,0.59,0.57,0.57,10.5,10.5,19.0,0.03
1,WAS,Washington Mystics,0.44,14,18,32,2176,2221,-45,0.44,0.44,,,,,,,
2,WAS,Washington Mystics,0.31,10,22,32,1928,2075,-147,0.5,0.12,0.44,0.44,0.44,-45.0,-45.0,14.0,-0.13
3,WAS,Washington Mystics,0.53,17,15,32,2135,2116,19,0.56,0.5,0.31,0.38,0.38,-96.0,-96.0,10.0,0.22
4,WAS,Washington Mystics,0.26,9,25,34,2330,2498,-168,0.18,0.35,0.53,0.43,0.43,-57.67,-57.67,17.0,-0.27
5,WAS,Washington Mystics,0.5,17,17,34,2325,2384,-59,0.65,0.35,0.26,0.37,0.38,-98.67,-85.25,9.0,0.24
6,WAS,Washington Mystics,0.47,16,18,34,2263,2305,-42,0.59,0.35,0.5,0.43,0.41,-69.33,-80.0,17.0,-0.03
7,WAS,Washington Mystics,0.53,18,16,34,2747,2657,90,0.76,0.29,0.47,0.41,0.41,-89.67,-79.4,16.0,0.06
8,WAS,Washington Mystics,0.47,16,18,34,2585,2639,-54,0.47,0.47,0.53,0.5,0.46,-3.67,-32.0,18.0,-0.06
9,WAS,Washington Mystics,0.29,10,24,34,2368,2601,-233,0.35,0.24,0.47,0.49,0.45,-2.0,-46.6,16.0,-0.18
10,WAS,Washington Mystics,0.47,16,18,34,2585,2622,-37,0.65,0.29,0.29,0.43,0.45,-65.67,-59.6,10.0,0.18
