year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,home_win_pct,away_win_pct,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev
4,IND,Indiana Fever,0.47058823529411764,16,18,34,2337,2321,16,0.6470588235294118,0.29411764705882354,0.5,0.3645833333333333,0.3645833333333333,-68.33333333333333,-68.33333333333333,16.0,-0.02941176470588236
5,IND,Indiana Fever,0.4411764705882353,15,19,34,2198,2245,-47,0.5882352941176471,0.29411764705882354,0.47058823529411764,0.4276960784313726,0.39108455882352944,-37.333333333333336,-47.25,16.0,-0.02941176470588236
6,IND,Indiana Fever,0.6176470588235294,21,13,34,2170,2133,37,0.8235294117647058,0.4117647058823529,0.4411764705882353,0.4705882352941176,0.40110294117647055,-21.0,-47.2,15.0,0.17647058823529416
7,IND,Indiana Fever,0.6176470588235294,21,13,34,2435,2316,119,0.7058823529411765,0.5294117647058824,0.6176470588235294,0.5098039215686274,0.46838235294117647,2.0,-24.4,21.0,0.0
8,IND,Indiana Fever,0.6176470588235294,21,13,34,2480,2370,110,0.7058823529411765,0.5294117647058824,0.6176470588235294,0.5588235294117646,0.5294117647058824,36.333333333333336,18.6,21.0,0.0
9,IND,Indiana Fever,0.5,17,17,34,2473,2457,16,0.6470588235294118,0.35294117647058826,0.6176470588235294,0.6176470588235294,0.5529411764705883,88.66666666666667,47.0,21.0,-0.11764705882352944
10,IND,Indiana Fever,0.6470588235294118,22,12,34,2606,2501,105,0.8235294117647058,0.47058823529411764,0.5,0.5784313725490197,0.5588235294117647,81.66666666666667,47.0,17.0,0.1470588235294118
1,LAS,Los Angeles Sparks,0.875,28,4,32,2417,2169,248,0.9375,0.8125,,,,,,,
2,LAS,Los Angeles Sparks,0.875,28,4,32,2441,2166,275,1.0,0.75,0.875,0.875,0.875,248.0,248.0,28.0,0.0
3,LAS,Los Angeles Sparks,0.78125,25,7,32,2452,2235,217,0.75,0.8125,0.875,0.875,0.875,261.5,261.5,28.0,-0.09375
4,LAS,Los Angeles Sparks,0.7058823529411765,24,10,34,2499,2432,67,0.6470588235294118,0.7647058823529411,0.78125,0.84375,0.84375,246.66666666666666,246.66666666666666,25.0,-0.07536764705882348
5,LAS,Los Angeles Sparks,0.7352941176470589,25,9,34,2495,2361,134,0.8823529411764706,0.5882352941176471,0.7058823529411765,0.7873774509803922,0.8092830882352942,186.33333333333334,201.75,24.0,0.02941176470588236
6,LAS,Los Angeles Sparks,0.5,17,17,34,2326,2345,-19,0.6470588235294118,0.35294117647058826,0.7352941176470589,0.7408088235294118,0.7944852941176471,139.33333333333334,188.2,25.0,-0.23529411764705888
7,LAS,Los Angeles Sparks,0.7352941176470589,25,9,34,2575,2476,99,0.8823529411764706,0.5882352941176471,0.5,0.6470588235294118,0.7194852941176471,60.666666666666664,134.8,17.0,0.23529411764705888
8,LAS,Los Angeles Sparks,0.29411764705882354,10,24,34,2533,2708,-175,0.29411764705882354,0.29411764705882354,0.7352941176470589,0.6568627450980392,0.6915441176470589,71.33333333333333,99.6,25.0,-0.44117647058823534
9,LAS,Los Angeles Sparks,0.5882352941176471,20,14,34,2598,2523,75,0.7058823529411765,0.47058823529411764,0.29411764705882354,0.5098039215686274,0.5941176470588235,-31.666666666666668,21.2,10.0,0.29411764705882354
10,LAS,Los Angeles Sparks,0.5294117647058824,18,16,34,2533,2498,35,0.6470588235294118,0.4117647058823529,0.5882352941176471,0.5392156862745098,0.5705882352941176,-0.3333333333333333,22.8,20.0,-0.05882352941176472
1,MIA,Miami Sol,0.40625,13,19,32,1831,2001,-170,0.5625,0.25,,,,,,,
2,MIA,Miami Sol,0.625,20,12,32,1957,1898,59,0.625,0.625,0.40625,0.40625,0.40625,-170.0,-170.0,13.0,0.21875
